Barcode,Product_Name,Category,Sugar_g_per_100g,Fat_g_per_100g,Sodium_mg_per_100g,Protein_g_per_100g,Additives,Ingredient_Text,Ingredient_Sentiment,Health_Score,Health_Label
8908628574525,Bournvita Health Drink,Beverage,49.0,2.4,85,13.5,E220,"salt, ragi, tamarind, coriander, preservative",Unhealthy,54,Moderate
8905805971677,Amul Toned Milk,Beverage,25.7,2.6,10,1.2,E100,"sugar, invert sugar, preservative, emulsifier, quinoa",Unhealthy,58,Moderate
8900052737759,ChocoBite Energy Bar,Snack,4.6,19.9,429,2.2,E120,"glucose, invert sugar, ragi, stabilizer, refined oil, turmeric, protein",Unhealthy,50,Moderate
8903257563556,Kellogg's Corn Flakes,Breakfast,14.5,9.9,425,4.5,E150d,"emulsifier, glucose, quinoa, millets, coriander",Unhealthy,49,Unhealthy
8904961432793,Paper Boat Aam Panna,Beverage,50.2,0.0,10,4.0,E330,"peanuts, natural, tamarind, invert sugar, salt, garlic, trans fat",Unhealthy,35,Unhealthy
8904776521565,Britannia Marie Gold,Snack,3.8,17.0,583,6.4,E211,"barley, whey protein, palm oil, garlic, quinoa, invert sugar",Healthy,61,Moderate
8907371171474,EnergyPlus Drink,Beverage,46.6,0.7,92,0.4,None,"artificial flavor, turmeric, tamarind, protein, walnuts",Healthy,39,Unhealthy
8904209409348,SodaPop Drink,Beverage,38.1,0.0,60,0.0,E102,"brown rice, walnuts, maltodextrin, fiber",Healthy,44,Unhealthy
8909750730762,Parle-G Biscuits,Snack,14.5,19.2,529,2.6,E211,"invert sugar, maltodextrin, artificial color, trans fat, walnuts",Unhealthy,30,Unhealthy
8901861863832,Bournvita Health Drink,Beverage,11.5,0.0,52,3.9,E330,"invert sugar, clove, black pepper, barley",Unhealthy,83,Healthy
8901563254037,Lays Classic Salted,Snack,18.7,17.0,556,4.9,E211,"artificial color, refined oil, glucose, quinoa, flaxseed, fructose, vitamin",Healthy,39,Unhealthy
8901992403822,Tropicana Orange,Beverage,13.3,2.6,79,0.0,None,"refined oil, turmeric, emulsifier, peanuts, salt, cardamom",Unhealthy,72,Moderate
8900835018559,Real Mixed Fruit,Beverage,34.3,0.0,99,2.1,E202,"trans fat, peanuts, quinoa, refined oil, oats, salt, walnuts",Healthy,55,Moderate
8904837554099,SodaPop Drink,Beverage,50.0,1.7,141,0.8,E102,"flaxseed, hing, fiber, natural, corn syrup",Healthy,25,Unhealthy
8901599467136,Sunfeast Dark Fantasy,Snack,12.8,15.9,579,1.0,E296,"flaxseed, vitamin, stabilizer, artificial flavor, green gram, whole grain",Healthy,41,Unhealthy
8902494745081,Lays Classic Salted,Snack,13.3,24.6,243,7.8,E296,"garlic, jaggery, walnuts, refined oil, almonds, quinoa, millets",Healthy,64,Moderate
8907427562014,ChocoBite Energy Bar,Snack,13.7,19.9,319,1.0,E202,"protein, peanuts, invert sugar, palm oil, green gram, ginger, clove",Healthy,48,Unhealthy
8904575477346,Lays Classic Salted,Snack,21.3,21.7,668,5.4,E296,"corn syrup, salt, palm oil, whey protein, artificial color, chia, protein",Unhealthy,22,Unhealthy
8900739826065,Granola Delight,Breakfast,9.4,7.5,99,9.8,E330,"cumin, salt, ragi, sugar, chia",Unhealthy,90,Healthy
8900487122158,Parle-G Biscuits,Snack,1.5,13.1,495,4.1,E202,"palm oil, ginger, corn syrup, hing, artificial color, whey protein, preservative, tamarind, sugar",Unhealthy,62,Moderate
8906539239896,Haldiram Bhujia,Snack,6.8,17.6,404,4.2,E330,"turmeric, clove, sugar, vitamin, peanuts",Healthy,63,Moderate
8902145481166,Paper Boat Jaljeera,Beverage,65.3,1.0,118,0.0,E330,"clove, quinoa, artificial flavor, preservative, emulsifier, natural, cardamom, invert sugar",Unhealthy,0,Unhealthy
8905143906358,Horlicks Classic Malt,Beverage,0.0,0.0,85,8.1,E296,"salt, sugar, barley",Unhealthy,100,Healthy
8907474746749,Haldiram Bhujia,Snack,9.5,18.3,163,5.4,E296,"refined oil, ginger, palm oil, ragi, cumin, walnuts",Unhealthy,66,Moderate
8903920830863,Bournvita Health Drink,Beverage,41.6,0.9,168,2.0,E120,"ginger, whey protein, hing, trans fat, glucose, preservative",Unhealthy,33,Unhealthy
8907510899759,Haldiram Bhujia,Snack,13.7,18.6,296,7.2,E211,"cumin, garlic, artificial flavor, fructose, honey, preservative",Unhealthy,55,Moderate
8909359623751,SodaPop Drink,Beverage,73.5,0.7,133,0.0,E202,"sugar, coriander, barley, millets, black pepper, ragi, vitamin",Healthy,0,Unhealthy
8909931434566,Mother Dairy Dahi,Beverage,78.9,0.3,171,0.1,E110,"oats, tamarind, vitamin, emulsifier, ginger, fiber",Healthy,0,Unhealthy
8909304318960,BrownBread Slice,Breakfast,0.0,5.4,181,11.6,E202,"ragi, artificial color, brown rice, vitamin, trans fat, whole grain, peanuts",Healthy,100,Healthy
8900269708558,Haldiram Bhujia,Snack,21.0,27.8,455,3.3,E330,"quinoa, whey protein, artificial flavor, maltodextrin, green gram, honey",Unhealthy,22,Unhealthy
8908739569962,Tropicana Orange,Beverage,68.4,1.6,171,5.5,E102,"honey, corn syrup, stabilizer, whey protein, ginger, cardamom, preservative, black pepper",Unhealthy,3,Unhealthy
8905314373708,PowerBite Protein Bar,Snack,10.7,14.4,320,2.7,None,"palm oil, peanuts, maltodextrin, fiber, fructose, ragi, chia, salt, artificial color",Unhealthy,58,Moderate
8906492378269,Granola Delight,Breakfast,21.4,6.9,172,8.9,E110,"invert sugar, coriander, vitamin, tamarind, preservative",Unhealthy,67,Moderate
8901704076663,Parle-G Biscuits,Snack,10.0,20.2,449,7.6,None,"fructose, cardamom, ginger, refined oil, sugar, invert sugar, trans fat, green gram",Unhealthy,58,Moderate
8908000612640,Too Yumm Multigrain Chips,Snack,7.0,20.6,504,1.2,E150d,"flaxseed, barley, quinoa, refined oil, vitamin",Healthy,44,Unhealthy
8905618014502,Horlicks Classic Malt,Beverage,6.1,0.0,116,0.0,E150d,"protein, palm oil, cardamom, whole grain, refined oil",Unhealthy,75,Moderate
8900788143899,Kellogg's Corn Flakes,Breakfast,34.1,6.3,269,7.6,E296,"protein, green gram, tamarind, palm oil, coriander",Healthy,54,Moderate
8904312811943,Soy Protein Drink,Beverage,52.0,0.0,58,2.5,E200,"ginger, peanuts, millets, artificial color",Healthy,35,Unhealthy
8909865402497,Tropicana Orange,Beverage,0.0,1.7,84,0.0,None,"stabilizer, quinoa, hing, sugar, cardamom, maltodextrin",Unhealthy,90,Healthy
8905515485412,Bingo Tedhe Medhe,Snack,0.0,11.6,538,2.9,E200,"palm oil, maltodextrin, whey protein, artificial color, preservative, black pepper",Unhealthy,60,Moderate
8900402296698,ZeroSugar Soda,Beverage,60.7,1.3,14,2.2,E200,"millets, trans fat, tamarind, maltodextrin, brown rice, artificial flavor, chia, palm oil",Unhealthy,16,Unhealthy
8906666799970,Paper Boat Aam Panna,Beverage,0.0,0.2,82,3.2,E220,"cardamom, fiber, natural, hing, oats, turmeric, whey protein, trans fat",Healthy,100,Healthy
8906533604358,Bingo Tedhe Medhe,Snack,10.1,24.7,550,7.5,E330,"garlic, ragi, sugar, salt, oats",Unhealthy,44,Unhealthy
8909506146942,OatCrunch Cookies,Snack,21.3,20.6,363,2.8,None,"glucose, emulsifier, tamarind, cumin, invert sugar, trans fat, turmeric",Unhealthy,36,Unhealthy
8909528751275,Sunfeast Dark Fantasy,Snack,12.2,29.1,578,13.7,E200,"stabilizer, invert sugar, palm oil, artificial color, quinoa, cumin, green gram, cardamom, almonds",Unhealthy,51,Moderate
8901512831807,Kellogg's Muesli,Breakfast,22.3,2.2,357,4.6,E220,"millets, turmeric, oats, emulsifier, flaxseed, barley, whole grain, black pepper",Healthy,62,Moderate
8900642229453,ZeroSugar Soda,Beverage,44.6,3.4,89,0.0,E102,"whole grain, preservative, sugar, clove, almonds, cardamom",Unhealthy,23,Unhealthy
8900391385730,Baked Veggie Chips,Snack,16.7,16.1,583,2.8,None,"fiber, coriander, invert sugar, refined oil, almonds",Unhealthy,35,Unhealthy
8904253421182,Britannia Marie Gold,Snack,15.8,21.2,283,6.6,E150d,"cumin, protein, salt, green gram, glucose, jaggery",Healthy,56,Moderate
8904039061316,Yakult Probiotic,Beverage,51.2,0.0,61,0.0,None,"trans fat, sugar, tamarind, invert sugar, fiber, fructose, coriander",Unhealthy,26,Unhealthy
8906259706801,Baked Veggie Chips,Snack,14.3,20.3,347,2.6,E296,"fructose, tamarind, glucose, peanuts, cumin, trans fat",Unhealthy,42,Unhealthy
8907090612125,HealthyNut Mix,Snack,12.9,28.2,643,3.9,E202,"ginger, hing, walnuts, refined oil, quinoa",Healthy,32,Unhealthy
8903806084774,Paper Boat Jaljeera,Beverage,95.6,0.4,19,0.4,E120,"maltodextrin, green gram, protein, cumin, artificial color, fructose, corn syrup, whole grain",Unhealthy,0,Unhealthy
8906498670133,Yakult Probiotic,Beverage,64.5,0.0,62,4.0,None,"invert sugar, ginger, brown rice, flaxseed, millets",Healthy,26,Unhealthy
8902722382246,Mother Dairy Dahi,Beverage,2.6,0.0,19,1.8,None,"flaxseed, green gram, fructose, refined oil, natural, black pepper, emulsifier",Unhealthy,96,Healthy
